CSDUID,CSDNAME,CSDTYPE,OMEC_LAT,OMEC_LON,OMEC_RAD_M
5919021,Ladysmith,T,48.9708367624173,-123.80618584688911,4556.385901817549
5919033,Cowichan Valley F,RDA,48.79166619171454,-124.33811609310965,40161.28070979247
5919035,Cowichan Valley I,RDA,48.98223700019768,-124.31080006945257,27028.6276027535
5919043,Cowichan Valley A,RDA,48.61115607218509,-123.55712869890903,8565.22221971607
5919046,Cowichan Valley B,RDA,48.62285313150465,-123.73662064930852,15869.314792751034
5919049,Cowichan Valley C,RDA,48.6989751382225,-123.57455564977441,3800.3797586386668
5919051,Cowichan Valley E,RDA,48.79886994057676,-123.78305730006163,13959.524917496496
5919801,Halalt 2,IRI,48.87608639715438,-123.69322850164562,794.9680581271047
5919802,Squaw-Hay-One 11,IRI,48.90149691131638,-123.69447803973802,506.7428376946262
5919803,Tsussie 6,IRI,48.88348266907279,-123.6758199624197,257.9203655501673
5919804,Chemainus 13,IRI,49.014879563046954,-123.77851066955841,2911.7683311191477
5919808,Kil-pah-las 3,IRI,48.73892432347345,-123.60901281608783,523.961641669415
5919809,Penelakut Island 7,IRI,48.95850675537374,-123.64926680176553,3018.8124582696423
5919811,Shingle Point 4,IRI,49.04169629544603,-123.63691156397607,613.4169764823877
5919812,Cowichan Lake,IRI,48.827888353549795,-124.07299924554451,524.0367806305745
5919813,Lyacksun 3,IRI,49.093407267488,-123.67576911717421,2973.5633921111635
5919814,Malachan 11,IRI,48.80853570674475,-124.66806359459272,605.4412878174776
5919815,Malahat 11,IRI,48.62361636657905,-123.52768472926284,1609.0370809312017
5919816,Oyster Bay 12,IRI,49.02017731386978,-123.85553865204716,1044.392478585061
5919817,Portier Pass 5,IRI,49.016412479009496,-123.59687082300556,131.54628369604222
5919818,Theik 2,IRI,48.74255539188903,-123.63695203656803,540.7996062626752
5919820,Est-Patrolas 4,IRI,48.71363716298467,-123.60910831507647,546.6364790708731
5919821,Tzart-Lam 5,IRI,48.75924658498119,-123.82900995874573,233.52166119589472
5919822,Cowichan,IRI,48.756602120910884,-123.66872327197633,7442.299778105335
5921007,Nanaimo,CY,49.1881184197,-123.93309403063238,11296.99214301885
5921008,Lantzville,DM,49.230228723308606,-124.1043284855573,4027.0412681574517
5921010,Nanaimo A,RDA,49.08371550279423,-123.84308916725112,6275.177955823515
5921014,Nanaimo B,RDA,49.16364337055267,-123.7639285885334,8552.42938768932
5921016,Nanaimo C,RDA,49.1534883450921,-124.2726028130219,31724.896349739174
5921018,Parksville,CY,49.31925024965045,-124.29870573153498,4578.164244737543
5921023,Qualicum Beach,T,49.34757721975546,-124.43286723802717,4121.892764298064
5921030,Nanaimo E,RDA,49.275307425994605,-124.16142559078986,8408.718422560163
5921032,Nanaimo F,RDA,49.276751099411165,-124.4670806828385,17250.49756643554
5921034,Nanaimo G,RDA,49.33549702657818,-124.38484226137,11902.072021407095
5921036,Nanaimo H,RDA,49.39362419383273,-124.74918054673398,16465.92777412838
5921804,Nanaimo Town 1,IRI,49.1508396763568,-123.9284611835839,512.8564453309716
5921805,Nanoose,IRI,49.25129048474357,-124.12224518817212,736.1161036487302
5921806,Qualicum,IRI,49.39840206022843,-124.61176447418967,766.0999057994815
5921807,Nanaimo River,IRI,49.12499930491182,-123.88003784360612,1324.711442649663
5923008,Port Alberni,CY,49.24489296650498,-124.81687041515278,4158.6347484693215
5923019,Ucluelet,DM,48.94290519993555,-125.5565762662071,3374.2840386670314
5923025,Tofino,DM,49.127248685256625,-125.88355876285566,4521.097948995466
5923033,Alberni-Clayoquot B,RDA,49.361384762440025,-124.88705934289783,10748.297590585351
5923035,Alberni-Clayoquot D,RDA,49.3948263595047,-125.11750610846396,35432.80391527395
5923037,Alberni-Clayoquot E,RDA,49.301213434281735,-124.85499933648593,5266.832127938876
5923039,Alberni-Clayoquot F,RDA,49.191821459163606,-124.69832528761967,14871.602493241318
5923047,Alberni-Clayoquot A,RDA,48.94775376752325,-124.98335698677826,32568.948536090764
5923049,Alberni-Clayoquot C,RDA,49.259327760902366,-125.84684924459057,62603.01235575038
5923801,Ahahswinis 1,IRI,49.264816027409594,-124.82547453977477,555.9654288941362
5923802,Alberni 2,IRI,49.214678670903474,-124.80912181301444,507.87952761717196
5923803,Anacla 12,IRI,48.80020242600933,-125.12273438729365,891.0224080449565
5923804,Clakamucus 2,IRI,48.9775553609605,-125.57421713933695,397.33180205084767
5923805,Elhlateese 2,IRI,49.02445680837847,-125.0437499657936,1223.1827654754284
5923806,Hesquiat 1,IRI,49.39535391405656,-126.47099963001943,1075.1056095946449
5923807,Ittatsoo 1,IRI,48.939565431235714,-125.52886266562611,742.9091067104983
5923808,Marktosis 15,IRI,49.2771847538065,-126.05916628801585,1333.1260076040437
